calculator_id,ru_url,en_url,uk_url,parity_status,reason,hreflang_allowed,switcher_behavior
ltv,/ru/business/ltv/,/en/business/ltv-calculator/,/uk/business/ltv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
market-cap,/ru/finance/market-cap/,/en/finance/market-cap-calculator/,/uk/finansy/rynkova-kapitalizatsiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
max-heart-rate,/ru/sport/max-heart-rate/,/en/fitness/maximum-heart-rate-calculator/,/uk/fitness/maksymalnyy-puls/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
max-loan,/ru/finance/max-loan/,/en/finance/maximum-loan-calculator/,/uk/finansy/maksymalna-suma-kredytu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
modulo,/ru/math/modulo/,/en/math/remainder-calculator/,/uk/math/kalkulyator-ostachi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
molar-mass,/ru/chemistry/molar-mass/,/en/chemistry/molar-mass-calculator/,/uk/himiya/molyarna-masa/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
molarity,/ru/chemistry/molarity/,/en/chemistry/molarity-calculator/,/uk/himiya/moliarnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
moles,/ru/chemistry/moles/,/en/chemistry/moles-calculator/,/uk/himiya/kilkist-rechovyny/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
momentum,/ru/physics/momentum/,/en/physics/momentum-calculator/,/uk/fizyka/impuls/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
mrr-arr,/ru/business/mrr-arr/,/en/business/mrr-arr-calculator/,/uk/business/mrr-arr/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
network-bandwidth,/ru/computers/network-bandwidth/,/en/computers/network-bandwidth-calculator/,/uk/kompyutery/propuskna-zdatnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
newton-force,/ru/physics/newton-force/,/en/physics/newtons-second-law-calculator/,/uk/fizyka/syla-nyutona/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ohms-law,/ru/electronics/ohms-law/,/en/electronics/ohms-law-calculator/,/uk/elektronika/zakon-oma/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ph-poh,/ru/chemistry/ph-poh/,/en/chemistry/ph-calculator/,/uk/himiya/ph-poh/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
physics-power,/ru/physics/mechanical-power/,/en/physics/mechanical-power-calculator/,/uk/fizyka/mekhanichna-potuzhnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
physics-torque,/ru/physics/torque/,/en/physics/torque-calculator/,/uk/fizyka/moment-syly/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
plaster,/ru/building/plaster/,/en/home-improvement/plaster-calculator/,/uk/remont/shtukaturka/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
pool-fill-time,/ru/household/pool-fill-time/,/en/household/pool-fill-time-calculator/,/uk/pobut/napovnennya-baseynu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
position-size,/ru/finance/position-size/,/en/finance/position-size-calculator/,/uk/finansy/rozmir-pozytsii/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
potential-energy,/ru/physics/potential-energy/,/en/physics/potential-energy-calculator/,/uk/fizyka/potentsialna-enerhiya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
power-root,/ru/math/power-root/,/en/math/power-and-root-calculator/,/uk/math/stepeni-ta-koreni/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
power-to-weight,/ru/automotive/power-to-weight/,/en/automotive/power-to-weight-calculator/,/uk/avtomobili/potuzhnist-do-masy/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ppi-dpi,/ru/computers/ppi/,/en/computers/ppi-calculator/,/uk/kompyutery/ppi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
pressure,/ru/physics/pressure/,/en/physics/pressure-calculator/,/uk/fizyka/tysk/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
price-per-unit,/ru/household/price-per-unit/,/en/household/price-per-unit-calculator/,/uk/pobut/tsina-za-odynytsyu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
prime-factorization,/ru/math/prime-factorization/,/en/math/prime-factorisation/,/uk/math/rozklad-na-prosti-mnozhnyky/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
print-3d-cost,/ru/household/print-3d-cost/,/en/household/3d-printing-cost-calculator/,/uk/pobut/vartist-3d-druku/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
probability-basic,/ru/math/probability/,/en/math/probability-calculator/,/uk/math/ymovirnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
proportion,/ru/math/proportion/,/en/math/proportion-calculator/,/uk/math/kalkulyator-proportsii/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
quadratic-equation,/ru/math/quadratic-equation/,/en/math/quadratic-equation/,/uk/math/kvadratne-rivnyannya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
raid,/ru/computers/raid/,/en/computers/raid-calculator/,/uk/kompyutery/raid-masyv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
ratio,/ru/math/ratio/,/en/math/ratio-calculator/,/uk/math/vidnoshennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
reading-speed,/ru/education/reading-speed/,/en/education/reading-speed-calculator/,/uk/navchannya/shvydkist-chytannya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
real-return,/ru/finance/real-return/,/en/finance/real-return-calculator/,/uk/finansy/realna-dokhidnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
recipe-cost,/ru/household/recipe-cost/,/en/household/recipe-cost-calculator/,/uk/pobut/vartist-retsepta/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
recipe-scale,/ru/household/recipe-scale/,/en/household/recipe-scaling-calculator/,/uk/pobut/masshtabuvannya-retsepta/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
rental-yield,/ru/finance/rental-yield/,/en/finance/rental-yield-calculator/,/uk/finansy/orendna-dokhidnist/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
resistor-network,/ru/electronics/resistor-network/,/en/electronics/resistor-network-calculator/,/uk/elektronika/zednannya-rezystoriv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
return-rate,/ru/business/return-rate/,/en/business/return-rate/,/uk/business/chastka-povernen/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
revenue-per-employee,/ru/business/revenue-per-employee/,/en/business/revenue-per-employee/,/uk/business/vytorh-na-spivrobitnyka/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
risk-reward,/ru/finance/risk-reward/,/en/finance/risk-reward-ratio-calculator/,/uk/finansy/ryzyk-prybutok/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
roas,/ru/business/roas/,/en/business/roas-calculator/,/uk/business/roas/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
roi,/ru/finance/roi/,/en/finance/roi-calculator/,/uk/finansy/roi-kalkulyator/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
roman-numerals,/ru/math/roman-numerals/,/en/math/roman-numerals/,/uk/math/rymski-chysla/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
roof-area,/ru/building/roof-area/,/en/home-improvement/roof-area-calculator/,/uk/remont/ploshcha-dakhu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
room-volume,/ru/building/room-volume/,/en/home-improvement/room-volume-calculator/,/uk/remont/kalkulyator-obyemu-prymishchennya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
rule-of-72,/ru/finance/rule-of-72/,/en/finance/rule-of-72-calculator/,/uk/finansy/pravylo-72/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
savings-rate,/ru/finance/savings-rate/,/en/finance/savings-rate-calculator/,/uk/finansy/kalkulyator-normy-zaoshchadzhen/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
shipping-per-unit,/ru/business/shipping-per-unit/,/en/business/shipping-per-unit/,/uk/business/dostavka-na-odynytsyu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
simple-interest,/ru/finance/simple-interest/,/en/finance/simple-interest/,/uk/finansy/prosti-vidsotky/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
solution-concentration,/ru/chemistry/solution-concentration/,/en/chemistry/solution-concentration-calculator/,/uk/himiya/kontsentratsiia-rozchynu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
speed-distance-time,/ru/automotive/speed-distance-time/,/en/automotive/speed-distance-time-calculator/,/uk/avtomobili/shvydkist-vidstan-chas/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
stats-descriptive,/ru/math/descriptive-statistics/,/en/math/descriptive-statistics-calculator/,/uk/math/serednie-znachennia/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
stock-duration,/ru/household/stock-duration/,/en/household/stock-duration-calculator/,/uk/pobut/zapas-produktu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
strip-foundation,/ru/building/strip-foundation/,/en/home-improvement/strip-foundation-calculator/,/uk/remont/strichkovyi-fundament/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
test-score-percent,/ru/education/test-score-percent/,/en/education/test-score-percentage-calculator/,/uk/navchannya/vidsotok-za-test/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
text-reading-time,/ru/education/text-reading-time/,/en/education/reading-time-calculator/,/uk/navchannya/chas-chytannya-tekstu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
text-word-char-count,/ru/computers/text-word-char-count/,/en/computers/word-and-character-counter/,/uk/kompyutery/lichylnyk-sliv-i-symvoliv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
time-duration,/ru/date-time/time-duration/,/en/date-time/time-duration-calculator/,/uk/daty/kalkulyator-tryvalosti-chasu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
time-value-money,/ru/finance/time-value-money/,/en/finance/time-value-of-money-calculator/,/uk/finansy/vartist-hroshey-u-chasi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
timezone-difference,/ru/date-time/timezone-difference/,/en/date-time/time-zone-difference-calculator/,/uk/daty/riznytsya-chasovyh-poyasiv/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
tip,/ru/household/tip/,/en/household/tip-calculator/,/uk/pobut/chayovi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
tire-size,/ru/automotive/tire-size/,/en/automotive/tire-size-calculator/,/uk/avtomobili/rozmir-shyn/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
trip-budget,/ru/household/trip-budget/,/en/household/trip-budget-calculator/,/uk/pobut/byudzhet-podorozhi/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
trip-cost,/ru/automotive/trip-cost/,/en/automotive/trip-cost-calculator/,/uk/avtomobili/vartist-poyizdky/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
unix-timestamp,/ru/computers/unix-timestamp/,/en/computers/unix-timestamp-converter/,/uk/kompyutery/unix-chas/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
video-file-size,/ru/computers/video-file-size/,/en/computers/video-file-size-calculator/,/uk/kompyutery/rozmir-videofaylu/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
week-number,/ru/date-time/week-number/,/en/date-time/week-number-calculator/,/uk/daty/kalkulyator-nomera-tyzhnya/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
weighted-mean,/ru/math/weighted-average/,/en/math/weighted-average-calculator/,/uk/math/serednozvazhene/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
work,/ru/physics/work/,/en/physics/work-physics-calculator/,/uk/fizyka/mekhanichna-robota/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
work-hours,/ru/date-time/work-hours/,/en/date-time/work-hours-calculator/,/uk/daty/robochi-hodyny/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
workday-cost,/ru/finance/workday-cost/,/en/finance/workday-cost-calculator/,/uk/finansy/vartist-robochoho-dnia/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
z-score,/ru/math/z-score/,/en/math/z-score-calculator/,/uk/math/z-ocinka/,ru-only,Needs review.,ru,RU remains active; EN and UA are disabled with a locale-specific explanation.
